Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"9 to 5","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400384","4w3tQBXhn5345eUXDGBWZG"
"Hush-A-Bye Hard Times","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400051","2A5OYs01OjAhVkNhqlNYtK"
"The House of the Rising Sun","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400052","6lyzUrhvbZIl8JU2iRKquL"
"Deportee (Plane Wreck at Los Gatos)","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400053","3TSkQvUD9xyu5jims52uVM"
"Sing for the Common Man","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400057","2AsHiGqXY278Ok49uIg9Ai"
"Working Girl","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400054","5PQOIflzV81tWs1vU398cl"
"Detroit City","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN10400811","3kItFKUqNYj6MfdnjDlHDS"
"But You Know I Love You","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400055","5DnMZlZpDSQxoYhW9e7XFu"
"Dark as a Dungeon","Dolly Parton","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN10200732","2cfbYUJdrSPphSSHTIKJ2e"
"Poor Folks Town","Porter Wagoner","9 To 5 And Odd Jobs","9 To 5 And Odd Jobs","Playlist","USRN19400056","4NO5uGNR5P0BFmTME6bXim"