Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Love Language","TOMORROW X TOGETHER","Love Language - Single","KPOPWRLD","Playlist","USA2P2514266","1808843316"
"Live, Love, Laugh","KISS OF LIFE","KISS ROAD - Single","KPOPWRLD","Playlist","KRA382502914","1811943838"
"like JENNIE","JENNIE","Ruby","KPOPWRLD","Playlist","USQX92500261","1795979745"
"Countdown!","TWS","TWS 3rd Mini Album 'TRY WITH US' - EP","KPOPWRLD","Playlist","USA2P2507772","1805792444"
"poppop","NCT WISH","poppop - The 2nd Mini Album - EP","KPOPWRLD","Playlist","KRA302500121","1805788242"
"O-RLY?","NEXZ","O-RLY? - EP","KPOPWRLD","Playlist","US5TA2500058","1810907466"
"Loose","ENHYPEN","Loose - Single","KPOPWRLD","Playlist","USA2P2513357","1803667106"
"BTG","KiiiKiii","UNCUT GEM - EP","KPOPWRLD","Playlist","QM4TX2506856","1808613617"
"Pookie","FIFTY FIFTY","Day & Night - EP","KPOPWRLD","Playlist","KRB462500180","1809050530"
"HOT","LE SSERAFIM","HOT - EP","KPOPWRLD","Playlist","USA2P2506404","1799278617"
"1999","MARK","The Firstfruit - The 1st Album","KPOPWRLD","Playlist","KRA302500095","1804768480"
"SIGN","izna","SIGN - Single","KPOPWRLD","Playlist","KRA492500184","1804309575"
"MONA LISA","j-hope","MONA LISA - Single","KPOPWRLD","Playlist","USA2P2505689","1800800105"
"Only cry in the rain","CHUU","Only cry in the rain - EP","KPOPWRLD","Playlist","KRB472501182","1808333344"
"GIANT","Stray Kids","GIANT","KPOPWRLD","Playlist","JPU902403462","1777033481"
"+82 Pressin' (feat. 楷灿)","MARK","+82 Pressin' (feat. 楷灿) - Single","KPOPWRLD","Playlist","KRA302500076","1800632850"
"KNOW ABOUT ME","NMIXX","Fe3O4: FORWARD - EP","KPOPWRLD","Playlist","US5TA2400377","1801729168"
"BURN","ARTMS","<BURN> - Single","KPOPWRLD","Playlist","KRA382500905","1795431494"
"The Chase","Hearts2Hearts","The Chase - Single","KPOPWRLD","Playlist","KRA302500047","1796402200"
"Air","YEJI & 예지","AIR - EP","KPOPWRLD","Playlist","US5TA2500003","1800186286"
"96ers","HxW","HxW 1st Single Album 'BEAM' - Single","KPOPWRLD","Playlist","USA2P2501595","1798803933"
"BEBE","STAYC","S - Single","KPOPWRLD","Playlist","KRA382501313","1800597777"
"YELLOW","TREASURE","SPECIAL MINI ALBUM [PLEASURE] - EP","KPOPWRLD","Playlist","KRA402400077","1808613377"
"ExtraL","JENNIE & Doechii","ExtraL - Single","KPOPWRLD","Playlist","USQX92500720","1797383525"
"I DO ME","KiiiKiii","UNCUT GEM - EP","KPOPWRLD","Playlist","HKD012473415","1808613613"
"IF I SAY, I LOVE YOU","BOYNEXTDOOR","IF I SAY, I LOVE YOU - Single","KPOPWRLD","Playlist","USA2P2475148","1785637238"
"Mama Said","KickFlip","Flip it, Kick it! - EP","KPOPWRLD","Playlist","US5TA2400388","1791196891"
"ATTITUDE","IVE","IVE EMPATHY - EP","KPOPWRLD","Playlist","QMFMF2434281","1808613583"
"toxic till the end","ROSÉ","rosie","KPOPWRLD","Playlist","USAT22409182","1771105929"
"Strategy (feat. Megan Thee Stallion)","TWICE","STRATEGY","KPOPWRLD","Playlist","US5TA2400297","1787096704"
"Love Hangover","JENNIE & Dominic Fike","Love Hangover - Single","KPOPWRLD","Playlist","USQX92500253","1792952247"
"Whiplash","aespa","Whiplash - The 5th Mini Album - EP","KPOPWRLD","Playlist","KRA302400341","1772644601"
"REBEL HEART","IVE","IVE EMPATHY - EP","KPOPWRLD","Playlist","HKD012473414","1808613579"
"number one girl","ROSÉ","rosie","KPOPWRLD","Playlist","USAT22409179","1771105923"
"LAST NIGHT","TREASURE","SPECIAL MINI ALBUM [PLEASURE] - EP","KPOPWRLD","Playlist","HKD012473412","1808613650"
"TOXIC","MEOVV","TOXIC - Single","KPOPWRLD","Playlist","KSA002303632","1782189584"
"Last Festival","TWS","TWS 1st Single 'Last Bell' - Single","KPOPWRLD","Playlist","USA2P2466281","1779150394"
"IZNA","izna","N/a - EP","KPOPWRLD","Playlist","KRA492401146","1779444220"
"No Doubt","ENHYPEN","ROMANCE : UNTOLD -daydream-","KPOPWRLD","Playlist","USA2P2464138","1776917125"
"Cherish (My Love)","ILLIT","I'LL LIKE YOU - EP","KPOPWRLD","Playlist","USA2P2458809","1772790089"
"APT.","ROSÉ & Bruno Mars","APT. - Single","KPOPWRLD","Playlist","USAT22409184","1773452221"
"Ice On My Teeth","ATEEZ","GOLDEN HOUR : Part.2 - EP","KPOPWRLD","Playlist","KRD442400039","1778026631"
"Mantra","JENNIE","Mantra - Single","KPOPWRLD","Playlist","USQX92405226","1772759719"
"DRIP","BABYMONSTER","DRIP","KPOPWRLD","Playlist","KRA402400056","1778406180"
"Get Loud","KISS OF LIFE","Lose Yourself","KPOPWRLD","Playlist","KRA382405132","1773345353"
"Supernova","aespa","Armageddon - The 1st Album","KPOPWRLD","Playlist","KRA302400090","1745285219"
"Shhh!","VIVIZ","The 5th Mini Album 'VOYAGE' - EP","KPOPWRLD","Playlist","KRA382406288","1785777920"
"GOLD","ITZY","GOLD","KPOPWRLD","Playlist","US5TA2400233","1787168291"
"MEOW","MEOVV","MEOW - Single","KPOPWRLD","Playlist","KSA002401915","1770618816"
"Steady","NCT WISH","Steady - The 1st Mini Album","KPOPWRLD","Playlist","KRA302400318","1766692131"
"Hit the Floor","tripleS","Visionary Vision <Performante>","KPOPWRLD","Playlist","KRA382405898","1773026577"
"UP (KARINA Solo)","aespa","SYNK : PARALLEL LINE - Special Digital Single - EP","KPOPWRLD","Playlist","KRA302400367","1772223475"
"SOS","FIFTY FIFTY","Love Tune - EP","KPOPWRLD","Playlist","KRB462400782","1766332769"
"Touch","KATSEYE","SIS (Soft Is Strong) - EP","KPOPWRLD","Playlist","USUM72407248","1753359801"
"Nice Guy","BOYNEXTDOOR","19.99","KPOPWRLD","Playlist","USA2P2454972","1765199947"
"Drama","aespa","Drama - The 4th Mini Album","KPOPWRLD","Playlist","KRA302300350","1715939931"
"CRAZY","LE SSERAFIM","CRAZY - EP","KPOPWRLD","Playlist","USA2P2449061","1763658321"
"How Sweet","NewJeans","How Sweet - EP","KPOPWRLD","Playlist","USA2P2414843","1744448416"
"Armageddon","aespa","Armageddon - The 1st Album","KPOPWRLD","Playlist","KRA302400093","1745285228"
"See that?","NMIXX","Fe3O4: STICK OUT - EP","KPOPWRLD","Playlist","US5TA2400157","1763021213"
"XO (Only If You Say Yes)","ENHYPEN","ROMANCE : UNTOLD","KPOPWRLD","Playlist","USA2P2436970","1752178865"
"Supersonic","fromis_9","Supersonic - Single","KPOPWRLD","Playlist","USA2P2444226","1760411225"
"Klaxon","(G)I-DLE","I SWAY - EP","KPOPWRLD","Playlist","KRA392400011","1786521444"
"Sticky","KISS OF LIFE","Sticky - Single","KPOPWRLD","Playlist","KRA382403763","1753900853"
"Cheeky Icy Thang","STAYC","Metamorphic","KPOPWRLD","Playlist","KRA382403832","1752835382"
"FOREVER","BABYMONSTER","DRIP","KPOPWRLD","Playlist","KRA402400062","1778406619"
"If I’m S, Can You Be My N?","TWS","TWS 2nd Mini Album 'SUMMER BEAT!' - EP","KPOPWRLD","Playlist","USA2P2428746","1751362479"
"Cosmic","Red Velvet","Cosmic","KPOPWRLD","Playlist","KRA302400202","1759890981"
"Magnetic","ILLIT","SUPER REAL ME - EP","KPOPWRLD","Playlist","USA2P2413259","1734500896"
"Boom Boom Bass","RIIZE","RIIZING : Epilogue - The 1st Mini Album","KPOPWRLD","Playlist","KRA302400143","1762577703"
"SHEESH","BABYMONSTER","BABYMONS7ER","KPOPWRLD","Playlist","KRA402400016","1740179433"
"Midas Touch","KISS OF LIFE","Midas Touch - Single","KPOPWRLD","Playlist","KRA382401544","1737365431"
"Girls Never Die","tripleS","<ASSEMBLE24>","KPOPWRLD","Playlist","KRA382402695","1743890801"
"SPOT! (feat. JENNIE)","ZICO","SPOT! (feat. JENNIE) - Single","KPOPWRLD","Playlist","USA2P2421932","1742019076"